score,model1,model2,model3
Overall Score,OpenAI GPT 5,Google Gemini Pro,Claude Sonnet
No Errors,283 (82%),276 (80%),285 (83%)
Minor Errors,41 (12%),47 (14%),44 (13%)
Major errors,21 (6%),21 (6%),14 (4%)
Not covered,0 (0%),1 (0%),1 (0%)
,,,
Statistical Items,OpenAI GPT 5,Google Gemini Pro,Claude Sonnet
No Errors,69 (70%),64 (65%),69 (70%)
Minor Errors,16 (16%),17 (17%),23 (23%)
Major errors,13 (13%),16 (16%),6 (6%)
Not covered,0 (0%),1 (1%),0 (0%)
,,,
Other Items,OpenAI GPT 5,Google Gemini Pro,Claude Sonnet
No Errors,214 (87%),212 (86%),216 (88%)
Minor Errors,25 (10%),30 (12%),21 (9%)
Major errors,8 (3%),5 (2%),8 (3%)
Not covered,0 (0%),0 (0%),1 (0%)
