spreadsheet_id,spreadsheet_title,worksheet_title,Our_section,Section,Subsection,JAMA_SAP_#,Description,Notes_on_scoring,Notes,openAI_gpt5_full,gemini_pro,claude_sonnet,Comment,openAI_full
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,admin_info,Section 1: Administrative Information,Title and trial registration,1a,"Descriptive title that matches the protocol, with SAP either as a forerunner or subtitle, and trial acronym (if applicable)",,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,admin_info,Section 1: Administrative Information,Title and trial registration,1b,Trial registration number,,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,NA,Section 1: Administrative Information,SAP version,2,SAP version number with dates,,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,admin_info,Section 1: Administrative Information,Protocol Version,3,Reference to version of protocol being used,,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,NA,Section 1: Administrative Information,SAP revisions,4a,SAP revision history,,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,NA,Section 1: Administrative Information,SAP revisions,4b,Justification for each SAP revision,,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,NA,Section 1: Administrative Information,SAP revisions,4c,"Timing of SAP revisions in relation to interim analyses, etc",,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,admin_info,Section 1: Administrative Information,Roles and responsibility,5,"Names, affiliations, and roles of SAP contributors",,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,NA,Section 1: Administrative Information,Signatures of:,6a,Person writing the SAP,,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,NA,Section 1: Administrative Information,Signatures of:,6b,Senior statistician responsible,,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,NA,Section 1: Administrative Information,Signatures of:,6c,Chief investigator/clinical lead,,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,introduction,Section 2: Introduction,Background and rationale,7,Synopsis of trial background and rationale including a brief description of research question and brief justification for undertaking the trial,,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,introduction,Section 2: Introduction,Objectives,8,Description of specific objectives or hypotheses,Accept a vague description as outcomes defined later,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,study_design,Section 3: Study Methods,Trial design,9,"Brief description of trial design including type of trial (eg, parallel group, multiarm, crossover, factorial) and allocation ratio and may include brief description of interventions",,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,study_design,Section 3: Study Methods,Framework,12,"Superiority, equivalence, or noninferiority hypothesis testing framework, including which comparisons will be presented on this basis",,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,randomisation,Section 3: Study Methods,Randomisation,10,"Randomization details, eg, whether any minimization or stratification occurred (including stratifying factors used or the location of that information if it is not held within the SAP)",,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,sample_size,Section 3: Study Methods,Sample size,11,Full sample size calculation or reference to sample size calculation in protocol (instead of replication in SAP),,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,interim_analysis,Section 3: Study Methods,Statistical interim analyses and stopping guidance,13a,"
Information on interim analyses specifying what interim analyses will be carried out and listing of time points",,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,interim_analysis,Section 3: Study Methods,Statistical interim analyses and stopping guidance,13b,Any planned adjustment of the significance level due to interim analysis,"If no interim analysis score 3 if this item is ommited. If there is a formal interim analysis and adjustment of the significance level, score item as 1 if it says an alpha of 0.05 will be used with 95% confidence intervals, even if it goes on to give the correct significance levels.",,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,interim_analysis,Section 3: Study Methods,Statistical interim analyses and stopping guidance,13c,Details of guidelines for stopping the trial early,,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,timing,Section 3: Study Methods,Timing of final analysis,14,"Timing of final analysis, eg, all outcomes analyzed collectively or timing stratified by planned length of follow-up",,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,timing,Section 3: Study Methods,Timing of outcome assessments,15,Time points at which the outcomes are measured including visit “windows”,"Score 2 if missing visit windows, that are mentioned in the protocol",,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,analysis_considerations,Section 4: Statistical Principles,Confidence intervals and P values,16,Level of statistical significance,,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,analysis_considerations,Section 4: Statistical Principles,Confidence intervals and P values,17,"Description and rationale for any adjustment for multiplicity and, if so, detailing how the type 1 error is to be controlled",,,3,3,3,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,second score,analysis_considerations,Section 4: Statistical Principles,Confidence intervals and P values,18,Confidence intervals to be reported,,,3,3,3,,
