spreadsheet_id,spreadsheet_title,worksheet_title,Our_section,Section,Subsection,JAMA_SAP_#,Description,Notes_on_scoring,Notes,openAI_gpt5_full,gemini_pro,claude_sonnet,Comment
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,admin_info,Section 1: Administrative Information,Title and trial registration,1a,"Descriptive title that matches the protocol, with SAP either as a forerunner or subtitle, and trial acronym (if applicable)",,,3,3,3,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,admin_info,Section 1: Administrative Information,Title and trial registration,1b,Trial registration number,,,3,3,3,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,NA,Section 1: Administrative Information,SAP version,2,SAP version number with dates,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,admin_info,Section 1: Administrative Information,Protocol Version,3,Reference to version of protocol being used,,,3,3,3,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,NA,Section 1: Administrative Information,SAP revisions,4a,SAP revision history,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,NA,Section 1: Administrative Information,SAP revisions,4b,Justification for each SAP revision,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,NA,Section 1: Administrative Information,SAP revisions,4c,"Timing of SAP revisions in relation to interim analyses, etc",,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,admin_info,Section 1: Administrative Information,Roles and responsibility,5,"Names, affiliations, and roles of SAP contributors",,,3,3,3,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,NA,Section 1: Administrative Information,Signatures of:,6a,Person writing the SAP,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,NA,Section 1: Administrative Information,Signatures of:,6b,Senior statistician responsible,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,NA,Section 1: Administrative Information,Signatures of:,6c,Chief investigator/clinical lead,,,,,,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,introduction,Section 2: Introduction,Background and rationale,7,Synopsis of trial background and rationale including a brief description of research question and brief justification for undertaking the trial,,,3,3,3,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,introduction,Section 2: Introduction,Objectives,8,Description of specific objectives or hypotheses,Accept a vague description as outcomes defined later,some parts of the objective for cluade could not be saved ,3,3,3,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,study_design,Section 3: Study Methods,Trial design,9,"Brief description of trial design including type of trial (eg, parallel group, multiarm, crossover, factorial) and allocation ratio and may include brief description of interventions",,,3,3,3,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,study_design,Section 3: Study Methods,Framework,12,"Superiority, equivalence, or noninferiority hypothesis testing framework, including which comparisons will be presented on this basis",,,3,3,3,
1J4vnJLDE97mzvA8WmiYMh1ndeCuW46w8zXR3k1IM08o,scoring validation_star,first score,randomisation,Section 3: Study Methods,Randomisation,10,"Randomization details, eg, whether any minimization or stratification occurred (including stratifying factors used or the location of that information if it is not held within the SAP)",,,3,3,3,
